no.;store_name;district;zip;street_name;street_no;price_1;price_2;size;type;date_of_obs
1;Spar;12;1123;Alkotàs u.;53;229;399;L;1;25.09.19
2;DM;12;1123;Alkotàs u.;53;379;499;L;1;25.09.19
3;SparToGo;12;1123;Alkotàs u.;53;229;399;S;1;25.09.19
4;Inmedio;12;1123;Alkotàs u.;53;359;609;S;3;25.09.19
5;Foodstock;12;1123;Alkotàs u.;53;370;590;S;3;25.09.19
6;MÙller;12;1123;Alkotàs u.;53;240;445;L;1;25.09.19
7;City Spar;12;1126;B_sz_rm_nyi Ït;38/a-b;229;399;M;1;25.09.19
8;Manna ABC;12;1124;Kiss Jànos altàbornagy u.;50a;295;469;M;2;25.09.19
9;PrÕma;12;1126;KiràlyhàgÑ t_r ;1;329;449;M;2;25.09.19
10;PrÕma;12;1123;K_k GolyÑ u.;18;329;449;M;2;25.09.19
11;Spar;12;1122;Nagyenyed u.;2;229;399;M;1;25.09.19
12;Manna ABC;12;1123;Alkotàs u.;1a;295;469;M;2;25.09.19
13;Spar;12;1122;Maros u.;31;229;399;M;1;25.09.19
14;Tesco;12;1124;Pagony u. ;27_29;259;399;L;1;25.09.19
15;8&8 Non Stop Delikàt;12;1124;FÙrj u.;2;298;478;M;3;25.09.19
16;Csenki Istvàn Älelmiszer Non Stop;12;1124;N_metv_lgyi Ït;58;290;459;M;3;25.09.19
17;SF ÄlelmiszerÙzlet;12;1126;KiràlyhàgÑ u.;2;319;469;M;3;25.09.19
18;CBA PrÕma;12;1124;Apor Vilmos t_r;11_12;339;449;M;2;29.09.19
19;Nemzeti Dohànybolt;12;1124;Apor Vilmos t_r;11_12;339;599;S;2;29.09.19
20;MOL;12;1125;Istenhegyi Ït;55;429;699;S;2;29.09.19
21;Manna ABC;6;1065;Podmaniczky u. ;1_3;295;450;M;2;26.09.19
22;DM;6;1066;Ter_z krt. ;46;319;499;M;1;26.09.19
23;PrÕma;6;1062;Andràssy Ït ;86;329;449;M;2;26.09.19
24;Vegyes diszkont;6;1068;Kiràly u. ;96;319;450;S;3;26.09.19
25;Spar;6;1066;Ter_z krt. ;28;319;449;M;1;26.09.19
26;Roni ABC;6;1062;Aradi u.;4;290;430;S;3;26.09.19
27;Budapest Parkoviska;6;1065;Nagymez_ u. ;17;320;485;M;3;26.09.19
28;Berker Mini Coop ABC;6;1066;Dessewffy u. ;24;295;450;M;3;26.09.19
29;Penny Market;6;1068;Kiràly u.;82;295;469;S;1;26.09.19
30;Reàl Älelmiszer Bolt;6;1068;Kiràly u.;94;299;399;M;2;26.09.19
31;K&K Älelmiszer;6;1063;Szondi u.;66;299;449;S;3;29.09.19
32;Vegyes Keresked_s;6;1063;Szondi u.;43;280;370;S;3;29.09.19
33;Szondi Älelmiszer;6;1063;Szondi u.;44a;329;440;S;3;29.09.19
34;Vegyes Bolt;6;1064;Izabella u.;83;250;350;S;3;29.09.19
35;Fill_res  zlet;6;1064;Izabella u.;81;325;595;S;3;29.09.19
36;Coop Szuper;6;1064;V_r_smarty u.;63;269;399;S;2;29.09.19
37;Szuper Diszkont Vegyes;6;1064;V_r_smarty u.;58a;250;380;S;3;29.09.19
38;ItalszakÙzlet;6;1067;Csengery u.;78;269;399;S;3;29.09.19
39;Älelmiszer;6;1067;Podmaniczky u. ;31;300;500;S;3;29.09.19
40;SPAR;6;1062;Vàci Ït;1_3;229;399;M;2;29.09.19
