Store name,Address,Product,Price
Aldi,Budapest; Szent Imre tér 6-8; 1211 Hungary,Coca cola 0.5L plastic bottle,229
Aldi,Budapest; Szent Imre tér 6-8; 1211 Hungary,Orbit chewing gum green,155
Nemzeti Dohánybolt,Budapest; Szent Imre tér 4; 1211 Hungary,Coca cola 0.5L plastic bottle,285
Nemzeti Dohánybolt,Budapest; Szent Imre tér 4; 1211 Hungary,Orbit chewing gum green,160
Penny Market,Budapest; Kossuth Lajos u. 69; 1211 Hungary,Coca cola 0.5L plastic bottle,229
Penny Market,Budapest; Kossuth Lajos u. 69; 1211 Hungary,Orbit chewing gum green,155
Nemzeti Dohánybolt,Budapest; Kossuth Lajos u. 70; 1211 Hungary,Coca cola 0.5L plastic bottle,270
Nemzeti Dohánybolt,Budapest; Kossuth Lajos u. 70; 1211 Hungary,Orbit chewing gum green,130
Tesco Xpress,Budapest; Kossuth Lajos u. 70; 1211 Hungary,Coca cola 0.5L plastic bottle,275
Tesco Xpress,Budapest; Kossuth Lajos u. 70; 1211 Hungary,Orbit chewing gum green,179
Szuper Dizkont,Budapest; Kossuth Lajos u. 85; 1211 Hungary,Coca cola 0.5L plastic bottle,279
Szuper Dizkont,Budapest; Kossuth Lajos u. 85; 1211 Hungary,Orbit chewing gum green,135
Zoldseg-Gyumolcs,Budapest; Kossuth Lajos u. 85; 1211 Hungary,Coca cola 0.5L plastic bottle,290
Zoldseg-Gyumolcs,Budapest; Kossuth Lajos u. 85; 1211 Hungary,Orbit chewing gum green,180
Nemzeti Dohánybolt,Budapest; Kossuth Lajos u. 85; 1211 Hungary,Coca cola 0.5L plastic bottle,295
Nemzeti Dohánybolt,Budapest; Kossuth Lajos u. 85; 1211 Hungary,Orbit chewing gum green,160
DM,Budapest; Kossuth Lajos u. 98-96; 1211 Hungary,Coca cola 0.5L plastic bottle,319
DM,Budapest; Kossuth Lajos u. 98-96; 1211 Hungary,Orbit chewing gum green,289
Spar,Budapest; Kossuth Lajos u. 85-99; 1211 Hungary,Coca cola 0.5L plastic bottle,239
Spar,Budapest; Kossuth Lajos u. 85-99; 1211 Hungary,Orbit chewing gum green,155
Nemzeti Dohánybolt - Csepel Plaza,Budapest; II. Rákóczi Ferenc utca 154-170; 1213 Hungary,Coca cola 0.5L plastic bottle,295
Nemzeti Dohánybolt - Csepel Plaza,Budapest; II. Rákóczi Ferenc utca 154-170; 1213 Hungary,Orbit chewing gum green,195
Aldi - Csepel Plaza,Budapest; II. Rákóczi Ferenc utca 154-170; 1213 Hungary,Coca cola 0.5L plastic bottle,229
Aldi - Csepel Plaza,Budapest; II. Rákóczi Ferenc utca 154-170; 1213 Hungary,Orbit chewing gum green,160
Rossmann - Csepel Plaza,Budapest; II. Rákóczi Ferenc utca 154-170; 1213 Hungary,Coca cola 0.5L plastic bottle,319
Rossmann - Csepel Plaza,Budapest; II. Rákóczi Ferenc utca 154-170; 1213 Hungary,Orbit chewing gum green,239
Fornetti - Csepel Plaza,Budapest; II. Rákóczi Ferenc utca 154-170; 1213 Hungary,Coca cola 0.5L plastic bottle,350
Fornetti - Csepel Plaza,Budapest; II. Rákóczi Ferenc utca 154-170; 1213 Hungary,Orbit chewing gum green,200
Vending machine in Csepel Plaza,Budapest; II. Rákóczi Ferenc utca 154-170; 1213 Hungary,Coca cola 0.5L plastic bottle,300
Vending machine in Csepel Plaza,Budapest; II. Rákóczi Ferenc utca 154-170; 1213 Hungary,Orbit chewing gum green,
Cinema - Csepel Plaza,Budapest; II. Rákóczi Ferenc utca 154-170; 1213 Hungary,Coca cola 0.5L plastic bottle,
Cinema - Csepel Plaza,Budapest; II. Rákóczi Ferenc utca 154-170; 1213 Hungary,Orbit chewing gum green,250
Rossmann Drogéria Parfüméria,Budapest; Görgey Artúr tér 20; 1212 Hungary,Coca cola 0.5L plastic bottle,319
Rossmann Drogéria Parfüméria,Budapest; Görgey Artúr tér 20; 1212 Hungary,Orbit chewing gum green,239
Spar,Budapest; Görgey Artúr tér 20; 1212 Hungary,Coca cola 0.5L plastic bottle,229
Spar,Budapest; Görgey Artúr tér 20; 1212 Hungary,Orbit chewing gum green,145
Nemzeti Dohánybolt,Budapest; Görgey Artúr tér 20; 1212 Hungary,Coca cola 0.5L plastic bottle,259
Nemzeti Dohánybolt,Budapest; Görgey Artúr tér 20; 1212 Hungary,Orbit chewing gum green,130
Zöldség Sarok,Budapest; Görgey Artúr tér 20; 1212 Hungary,Coca cola 0.5L plastic bottle,180
Zöldség Sarok,Budapest; Görgey Artúr tér 20; 1212 Hungary,Orbit chewing gum green,200
Kínai Büfé,Budapest; Görgey Artúr tér 20; 1212 Hungary,Coca cola 0.5L plastic bottle,350
Kínai Büfé,Budapest; Görgey Artúr tér 20; 1212 Hungary,Orbit chewing gum green,
Nemzeti Dohánybolt,Budapest; Kossuth Lajos u. 13; 1211 Hungary,Coca cola 0.5L plastic bottle,
Nemzeti Dohánybolt,Budapest; Kossuth Lajos u. 13; 1211 Hungary,Orbit chewing gum green,160
Tepi-market kft.,Budapest; Szinyei Merse u. 1; 1063,Coca cola 0.5L plastic bottle,289
Tepi-market kft.,Budapest; Szinyei Merse u. 1; 1063,Orbit chewing gum green,180
CBA Prima,Budapest; Szív u. 29; 1063 Hungary,Coca cola 0.5L plastic bottle,319
CBA Prima,Budapest; Szív u. 29; 1063 Hungary,Orbit chewing gum green,169
Nemzeti Dohánybolt,Budapest; Andrássy út 82; 1062,Coca cola 0.5L plastic bottle,319
Nemzeti Dohánybolt,Budapest; Andrássy út 82; 1062,Orbit chewing gum green,189
Reál pont,Budapest; Aradi u. 42; 1062,Coca cola 0.5L plastic bottle,350
Reál pont,Budapest; Aradi u. 42; 1062,Orbit chewing gum green,190
Bella élelmiszer,Budapest; Aradi u. 34; 1062,Coca cola 0.5L plastic bottle,319
Bella élelmiszer,Budapest; Aradi u. 34; 1062,Orbit chewing gum green,180
Rossmann Drogéria Parfüméria,Budapest; Teréz krt. 19; 1067,Coca cola 0.5L plastic bottle,319
Rossmann Drogéria Parfüméria,Budapest; Teréz krt. 19; 1067,Orbit chewing gum green,239
Roni ABC,Budapest; Aradi u. 4; 1062,Coca cola 0.5L plastic bottle,299
