record;store_name;store_address;store_bp;store_type;store_size;store_private_label;store_local;hour_opening;hour_closing;store_24hours;price_coke;price_snickers
1;Aldi;Budapest, Bokenyfoldi ut 102, 1165;0;discount;medium;1;0;7:00:00;21:00:00;0;229;229
2;Coop;Budapest, Perjes u. 2, 1165;0;supermarket;medium;1;1;6:30:00;20:00:00;0;269;179
3;CBAPrima;Budapest, Jokai Mor u. 2, 1165;0;supermarket;medium;1;1;6:00:00;20:00:00;0;259;165
4;Spar;Budapest, Veres Peter ut 47, 1163;0;supermarket;big;1;0;7:00:00;20:00:00;0;229;169
5;Muller;Budapest, Ors vezer tere 25/A, 1106;0;supermarket;medium;1;0;9:00:00;21:00:00;0;315;165
6;Auchan;Csomor, Hatar ut 6, 2141;0;hypermarket;large;1;0;7:00:00;21:00:00;0;259;159
7;Tesco Express;Budapest, Rakosi u 142-146, 1162;0;supermarket;medium;1;0;7:00:00;22:00:00;0;259;159
8;InterSpar;Budapest, Ors vezer tere 25/A, 1106;0;supermarket;big;1;0;7:00:00;21:00:00;0;229;169
9;OMVSpar;Budapest, Szabadfold ut 1, 1164;0;gas_station;small;0;0;0:00:00;0:00:00;1;245;185
10;MOL;Budapest, Veres Peter ut 105-107, 1163;0;gas_station;small;0;1;6:00:00;22:00:00;0;399;265
11;Avia;Budapest, Kerepesi ut 89, 1106;0;gas_station;small;0;0;6:00:00;20:00:00;0;315;150
12;SarkiFuszeres;Budapest, Batsanyi Janos ut 27, 1163;0;convenience;small;0;0;0:00:00;0:00:00;1;280;150
13;UjszaszABC;Budapest, Nyílhegy u. 1, 1165;0;convenience;small;0;1;6:00:00;21:00:00;0;300;200
14;EdenkertABC;Budapest, Ujszasz u. 45b, 1165;0;convenience;small;0;1;6:00:00;22:00:00;0;298;159
15;Real;Budapest, Vidamvasar u. 1, 1164;0;supermarket;small;0;1;6:00:00;22:00:00;0;319;169
16;MatyasCsemege;Budapest, Ujszasz u. 87, 1165;0;convenience;small;0;1;6:00:00;21:00:00;0;320;149
17;Rossmann;Budapest, Jokai Mor u. 4, 1165;0;drugstore;medium;1;0;9:00:00;21:00:00;0;319;209
18;VendingMachine;Budapest, Feher ut 1, 1106;0;vending_machine;small;0;1;0:00:00;0:00:00;1;330;220
19;Inmedio;Budapest, Ors vezer tere 25/A, 1106;0;newspaper;small;0;1;9:00:00;21:00:00;0;369;229
20;Relay;Budapest, Ors vezer tere 25/A, 1106;0;newspaper;small;0;1;9:00:00;21:00:00;0;359;219
21;Molnar ABC;Budapest, Molnar u.20, 1056;1;convenience;small;0;1;7:00:00;21:00:00;0;300;160
22;Akcios Diszkont;Budapest, Iranyi u.21, 1056;1;convenience;small;0;1;10:00:00;18:00:00;0;280;120
23;CBA;Budapest, Veres Palne u. 12, 1052;1;supermarket;small;1;1;6:00:00;22:00:00;0;339;149
24;Diszkont Market;Budapest, Inner City Budapest, 1052;1;convenience;small;0;1;8:00:00;20:00:00;0;290;150
25;Hypbroker Kft;Budapest, Apaczai Csere Janos u. 1, 1051;1;convenience;small;0;1;7:00:00;20:30:00;0;319;179
26;COOP mini;Budapest, Apaczai Csere Janos u. 5, 1051;1;supermarket;small;1;1;0:00:00;0:00:00;1;299;159
27;Koz-ert;Budapest, Molnar u.14, 1056;1;convenience;small;0;1;7:30:00;15:30:00;0;290;150
28;Prima;Budapest, Jozsef  Attila u.16, 1051;1;supermarket;small;1;1;7:00:00;21:00:00;0;299;169
29;Koz-ert;Budapest, Nador u.5, 1051;1;convenience;small;0;1;7:30:00;15:30:00;0;290;150
30;Roni ABC;Budapest, Sas u.1, 1051;1;convenience;small;0;1;0:00:00;0:00:00;1;299;189
31;Roni ABC;Budapest, Bajcsy-Zsilinszky u.15c, 1051;1;convenience;small;0;1;0:00:00;0:00:00;1;299;179
32;Prima Anker;Budapest, Deak Ferenc ter 100e, 1075;1;supermarket;small;1;1;6:00:00;22:00:00;0;339;169
33;Prima;Budapest, Pilvax koz u. 2, 1052;1;supermarket;small;1;1;7:00:00;21:00:00;0;299;169
34;Mini-market;Budapest, Haris koz u.3, 1052;1;convenience;small;0;1;0:00:00;0:00:00;1;350;180
35;CBAPrima;Budapest, Nador u. 18, 1054;1;supermarket;medium;1;1;6:30:00;20:00:00;0;339;169
36;Gold Delicatesse;Budapest, Arany Janos u. 33, 1051;1;convenience;small;0;1;0:00:00;0:00:00;1;320;180
37;Bathory Abc;Budapest, Bathory utca 19, 1054;1;convenience;small;0;1;6:00:00;22:00:00;0;329;169
38;City SPAR;Budapest, Vertanuk tere 1, 1054;1;supermarket;medium;1;0;7:00:00;22:00:00;0;229;169
39;avt ABC;Budapest, Kecskemeti u. 9/a, 1053;1;convenience;small;0;1;6:00:00;22:00:00;0;299;179
40;Manna ABC;Budapest, Vamhaz krt. 16, 1053;1;convenience;small;0;1;0:00:00;0:00:00;1;295;159
