Variable_ID,District,Coke_Price ,Coke_Description,Nestle_Aqua_Price ,Nestle_Aqua_Description,Shop_Name,Shop_Size,Shop_Type,Address,District_Category
B0801,8,344,0.5,250,0.5,Dieta,Large,Retail,Rakoczi UT 24,Inner
B0802,8,319,0.5,215,0.5,DM,Large,Retail,Rakoczi UT 24,Inner
B0803,8,299,0.5,99,0.5,ABC 0-24,Medium,Grocery,Aurora UT 18,Inner
B0804,8,279,0.5,149,0.5,Real Pont,Medium,Grocery,Karacsony Sandor u,Inner
B0805,8,299,0.5,179,0.5,Roni ABC,Medium,Grocery,Rakoczi UT 24,Inner
B0806,8,500,0.5,400,0.5,Sovenir,Small,Sovenir,Baross  u 1,Inner
B0807,8,339,0.5,99,0.5,Elelmiszer,Medium,Retail,Rakoczi UT 24,Inner
B0808,8,344,0.5,230,0.5,Kashmir Bazar ,Small,Café,Nepszinhaz  u 21,Inner
B0809,8,500,0.5,500,0.5,Budapest Sovenir,Small,Sovenir,Rakoczi ut 58,Inner
B0810,8,229,0.5,115,0.5,City Spar,Large,Retail,Rakoczi ut 19,Inner
B0811,8,229,0.5,115,0.5,Penny Market,Large,Retail,Jozsef krt. 45,Inner
B0812,8,269,0.5,150,0.5,Boldog Kft. ABC,Small,Grocery,Gutenberg ter 13,Inner
B0813,8,268,0.5,200,0.5,Csemege Sarok,Small,Grocery,Vas  u 12,Inner
B0814,8,275,0.5,119,0.5,Tesco,Large,Retail,Kalvin ter 7,Inner
B0815,8,339,0.5,159,0.5,Prima,Large,Retail,Anker koz 1,Inner
B0816,8,299,0.5,169,0.5,Sudu Fast Food,Small,Grocery,Dohany  u 9,Inner
B0817,8,350,0.5,150,0.5,Azsia Diszkont,Medium,Local,Vamhaz krt. 7,Inner
B0818,8,295,0.5,169,0.5,Mana ABC,Large,Retail,Baross  u 1,Inner
B0819,8,275,0.5,119,0.5,Tesco Expressz,Large, Retail,Rakoczi ut. 1-3,Inner
B0820,8,279,0.5,101,0.5,Garibaldi ABC,Small,Local,Garibaldi  u 7,Inner
B0821,8,229,0.5,115,0.5,City Spar,Large,Retail,Karoly krt 22-24,Inner
B0822,8,339,0.5,159,0.5,Prima,Large,Retail,Erzsebet krt. 58,Inner
B0823,8,310,0.5,160,0.5,Nemzeti Dohanybolt,Medium,Retail,Karoly krt. 21,Inner
B1001,10,280,0.5,160,0.5,,Small,Grocery,ors vezer tere 25A Arkad Mall ,Outer
B1002,10,280,0.5,150,0.5,Nemzeti Dohanybolt,Medium,Grocery,ors vezer tere 25A Arkad Mall ,Outer
B1003,10,300,0.5,150,0.5,Finimini Latvangrekseg,Small,Grocery,ors vezer tere 25A Arkad Mall ,Outer
B1004,10,360,0.5,260,0.5,Princess,Large,Bakery,ors vezer tere 25A Arkad Mall ,Outer
B1005,10,240,0.5,220,0.5,Szendvicsbar,Small,Cafe,ors vezer tere 25A Arkad Mall ,Outer
B1006,10,410,0.5,250,0.5,llipoti peks,Small,Bakery,ors vezer tere 25A Arkad Mall ,Outer
B1007,10,229,0.5,89,0.5,Small Spar,Large,Retail,ors vezer tere 25A Arkad Mall ,Outer
B1008,10,359,0.5,209,0.5,Relay,Medium,Retail,ors vezer tere 25A Arkad Mall ,Outer
B1009,10,309,0.5,369,0.5,Inmedio,Small,stationary,ors vezer tere 25A Arkad Mall ,Outer
B1010,10,300,0.5,230,0.5,Aranycipo,Medium,Bakery,ors vezer tere 25A Arkad Mall ,Outer
B1011,10,450,0.5,350,0.5,Sakura Ramen,Small,Cafe,ors vezer tere 25A Arkad Mall ,Outer
B1012,10,450,0.5,370,0.5,Nordsee,Small,Cafe,ors vezer tere 25A Arkad Mall ,Outer
B1013,10,450,0.5,380,0.5,Fozelekfalo Etelbar,Small,Cafe,ors vezer tere 25A Arkad Mall ,Outer
B1014,10,450,0.5,380,0.5,Pizza Pasta,Large,Cafe,ors vezer tere 25A Arkad Mall ,Outer
B1015,10,450,0.5,450,0.5,Star Kebab,Small,Cafe,ors vezer tere 25A Arkad Mall ,Outer
B1016,10,219,0.5,115,0.5,Inter Spar,Large,Retail,ors vezer tere 25A Arkad Mall ,Outer
B1017,10,490,0.5,490,0.5,Okay Italia,Small,Cafe,ors vezer tere 25A Arkad Mall ,Outer
B1018,10,319,0.5,250,0.5,BCS,Small,Bakery,ors vezer tere 25A Arkad Mall ,Outer
B1019,10,229,0.5,99,0.5,Aldi,Large,Retail,Kerepesi  UT 87,Outer
B1020,10,250,0.5,119,0.5,Spar,Large,Retail,Kerepesi  UT 87,Outer
