u_id;in_district;sh_name;sh_district;sh_address;price_c;price_b;r_clock;sh_ty;cc_dist;pay_ty;in_mall;chain
1;1;Napsugar Csemege;1081;Kiss Joszef utca 9;285;95;no;grocery;1,8;cc;no;no
2;1;Olai Market & Cafe;1088;Rakoczi utca 43-45;290;99;no;grocery;1,6;cc;no;no
3;1;Lucky;1085;Blaha lujza ter Metro;280;80;no;kiosk;1,4;c;no;no
4;1;Vegyeskeresked_s;1085;Blaha lujza ter Metro;280;70;no;kiosk;1,4;c;no;no
5;1;Tesco Expressz;1088;Rakoczi ut 1-3;275;84;no;supermarket;0,75;cc;no;yes
6;1;Spar city;1088;Rakoczi ut 19;229;79;no;supermarket;0,95;cc;no;yes
7;1;Manna ABC;1085;Jozsef krt. 30-32;295;79;yes;grocery;1,7;cc;no;yes
8;1;Aldi;1081;Rakoczi ut 65;229;79;no;supermarket;2;cc;no;yes
9;1;Vegyes Keresked_s;1081;Nepszinhaz u. 33;250;80;no;grocery;2;cc;no;no
10;1;Diszkont Aruhaz;1081;Nepszinhaz u. 19;250;70;no;grocery;1,7;cc;no;no
11;1;DDA Illatszer Diszkont;1088;Jozsef krt. 4;270;89;no;kiosk;1,5;cc;no;no
12;1;Manna ABC;1085;Baross u. 1;295;79;yes;grocery;1,3;cc;no;yes
13;1;OMV/Spar Express;1082;Baross u. 5;245;85;yes;grocery;1,4;cc;no;yes
14;1;Aldi;1085;Ulloi ut 14;229;79;no;supermarket;1,4;cc;no;yes
15;1;Coop Szuper;1088;Brody Sandor u. 24;299;89;no;supermarket;1,3;cc;no;yes
16;1;Elelmiszer Csemege;1088;Brody Sandor u. 17;280;90;no;grocery;1,4;cc;no;no
17;1;GRoby Jozsefvarosi Supermarket;1088;Krudy Gyula u. 20;259;89;no;supermarket;1,8;cc;no;yes
18;1;Penny;1085;Jozsef krt. 45;229;59;no;supermarket;1,9;cc;no;yes
19;1;Spar;1085;Jozsef krt. 50;244;82;no;supermarket;2;cc;no;yes
20;1;Elelmiszer Diszkont;1082;Harminckettesek tere 6/b;289;75;no;grocery;2;cc;no;no
21;0;Aldi;1106;Kerepesi ut 73;229;79;no;supermarket;7,6;cc;no;yes
22;0;forgofruct kft;1153;Budapest E_tv_s ut 62;280;100;no;grocery;10,2;cc;no;no
23;0;lottozo;1106;PillangÑ utca Metro;300;90;no;storestore c;5,3;cc;no;no
24;0;Relay Today;1106;PillangÑ utca Metro;359;119;no;general;5,3;cc;no;yes
25;0;Forgo kft;1108;Feher ut 1;300;100;no;general;6,5;cc;no;no
26;0;Relay;1148;Orze vezer tere 25/A;249;100;no;general;6,5;cc;yes;yes
27;0;Spar;1148;Orze vezer tere 25/A;229;79;no;supermarket;6,5;cc;yes;yes
28;0;Inmedio;1148;Orze vezer tere 25/A;369;129;no;magazine;6,5;cc;yes;no
29;0;Interspar;1148;Orze vezer tere 25/A;290;79;no;supermarket;6,5;cc;yes;yes
30;0;Shell;1106;Kerepesi ut 61;419;140;no;gas station;6,8;cc;no;yes
31;0;Spar express;1106;Kerepesi ut 73;245;85;yes;general;7,5;cc;no;yes
32;0;Spar;1106;Kerepesi ut 73;229;79;no;supermarket;7,5;cc;no;yes
33;0;Avia;1106;Kerepesi ut 89;249;99;no;gas station;8,2;cc;no;yes
34;0;Älelmiszerbolt Coop;1106;Pogany u. 10;259;89;no;grocery;8,4;c;no;no
35;0;Lirl;1106;Maglodi ut 17;229;89;no;supermarket;8,3;cc;no;yes
36;0;Ohegyi Patika;1106;Kada u. 126-120;270;99;no;pharmacy;8,4;cc;no;no
37;0;National Tobacca Shop;1104;Madi u. 101;244;89;no;tobacco;8,3;cc;no;yes
38;0;Szuper Diszkont;1103;Unnamed Road;229;79;no;supermarket;7,8;cc;no;no
39;0;Ohegy discount;1103;Ohegy u. 41;249;89;no;general;7,6;cc;no;no
40;0;Maci Szuperdiszkont;1101;Doba u. 7;244;100;no;grocery;6;cc;no;no
