product;price;shop_address;shop_name;chain;open_7_24;district
Heinken;279;Budapest, Erzsébet krt. 7, 1073;Market Point;;yes;7
Heinken;329;Budapest, Wesselényi u. 58, 1077;Golden Élelmiszer;;no;7
Heinken;289;Budapest, Wesselényi u. 60, 1077;Coop;Coop chain;no;7
Heinken;340;Budapest, Huszár u. 5, 1074;"""Zöldséges - Élelmiszer""";;no;7
Heinken;320;Budapest, Izabella u. 5-9, 1077;Családi csemegebolt;Coop chain;no;7
Heinken;319;Budapest, Izabella u. 34, 1077;Roni ABC;Roni ABC chain;yes;7
Heinken;320;Budapest, Király u. 67, 1077;Nemzeti Dohánybolt;;yes;7
Heinken;299;Budapest, Wesselényi u. 59, 1077;Nemzeti Dohánybolt;;yes;7
Heinken;320;Budapest, Király u. 91, 1077;Király Csemege;;yes;7
Heinken;280;Budapest, Hevesi Sándor tér 1, 1077;Izabella Diszkont;;no;7
Heinken;350;Budapest, Klauzál u. 1, 1072;Nemzeti Dohánybolt;;yes;7
Heinken;299;Budapest, Dohány u. 44, 1074;Nemzeti Dohánybolt;;yes;7
Heinken;279;Budapest, Erzsébet krt. 19, 1073;Spar;Spar chain;no;7
Heinken;299;Budapest, Erzsébet krt. 26, 1073;Chimpex Diszkont;;no;7
Heinken;269;Budapest, Wesselényi u. 52, 1077;Nemzeti Dohánybolt;;yes;7
Heinken;280;Budapest, Wesselényi u. 56, 1077;Min Yuan;;no;7
Heinken;340;Budapest, Wesselényi u. 61, 1077;Golden Élelmiszer;;no;7
Heinken;270;Budapest, Hársfa u., 1074;MP Prime Market;;no;7
Heinken;320;Budapest, Dohány u. 96, 1074;Atar;;no;7
Heinken;299;Budapest, Wesselényi u. 59, 1077;Nemzeti Dohánybolt;;yes;7
Coke;275;Budapest, Dohány u. 44, 1074;Nemzeti Dohánybolt;;yes;7
Coke;279;Budapest, Erzsébet krt. 19, 1073;Spar;Spar chain;no;7
Coke;299;Budapest, Erzsébet krt. 26, 1073;Chimpex Diszkont;;no;7
Coke;299;Budapest, Wesselényi u. 52, 1077;Nemzeti Dohánybolt;;yes;7
Coke;260;Budapest, Wesselényi u. 56, 1077;Min Yuan;;no;7
Coke;300;Budapest, Wesselényi u. 61, 1077;Golden Élelmiszer;;no;7
Coke;200;Budapest, Hársfa u., 1074;MP Prime Market;;no;7
Coke;300;Budapest, Dohány u. 96, 1074;Atar;;no;7
Coke;290;Budapest, Wesselényi u. 59, 1077;Nemzeti Dohánybolt;;yes;7
