obs_ID,store_brand,store_name,store_type,store_size,district,street,traffic_footfall,price_coke,discount_rate_Coke,price_heineken,discount_rate_heineken,store_feel,Date
1,Spar,Interspar,Hypermarket,Big,3,Becsi ut,Shopping area / centre,219,0%,249,0.00%,good,2019.09.20
2,Tesco,Tesco Expressz,Convenience store,Small,3,Kolosy ter,Shopping area / centre,275,0%,199,24.00%,medium,2019.09.21
3,CBA,CBA Gourmet,Supermarket,Medium,3,Kolosy ter,Shopping area / centre,299,0%,239,0.00%,very good,2019.09.21
4,Mom&Pop,7-22 ABC,Convenience store,Very small,3,Szepvolgyi ut,Main road,295,0%,315,0.00%,low,2019.09.21
5,Honi Coop,Honi Elelmiszer,Supermarket,Small,3,Folyondar utca,Small street,285,0%,NA,NA,low,2019.09.23
6,Coop,Coop ABC,Convenience store,Small,3,Kiscelli utca,Small street,299,0%,310,0.00%,low,2019.09.23
7,CBA,CBA Elelmiszer supermarket,Supermarket,Small,3,Kiscelli utca,Small street,339,0%,259,0.00%,low,2019.09.23
8,Mom&Pop,Vegyes elelmiszerbolt,Convenience store,Very small,3,Szolo utca,Small street,299,0%,279,0.00%,low,2019.09.23
9,CBA,CBA Prima,Supermarket,Small,3,Gyenes utca,Small street,339,0%,NA,NA,medium,2019.09.23
10,Spar,Spar szupermarket,Supermarket,Medium,3,Vorosvari ut,Main road,229,0%,249,0.00%,medium,2019.09.23
11,Mom&Pop,Genius ABC elelmiszerbolt,Convenience store,Very small,3,Vorosvari ut,Main road,299,0%,289,0.00%,low,2019.09.23
12,CBA,CBA Piac Elelmiszerbolt,Supermarket,Small,3,Vihar utca,Shopping area / centre,295,0%,259,0.00%,low,2019.09.23
13,CBA,CBA Prima,Supermarket,Small,3,Vihar utca,Small street,279,0%,259,0.00%,medium,2019.09.23
14,Lidl,Lidl,Discount store,Medium,3,Huszti ut,Main road,NA,NA,NA,NA,good,2019.09.23
15,Aldi,Aldi,Discount store,Medium,3,Huszti ut,Main road,229,0%,NA,NA,good,2019.09.23
16,Penny,Penny,Discount store,Medium,3,Huszti ut,Main road,229,0%,NA,NA,medium,2019.09.23
17,CBA,CBA Prima,Supermarket,Small,3,Szentenderi ut,Main road,329,0%,259,0.00%,low,2019.09.23
18,CBA,CBA Prima,Supermarket,Medium,3,Florian ter,Shopping area / centre,339,0%,259,0.00%,good,2019.09.23
19,Mom&Pop,Manna ABC non-stop,Convenience store,Very small,3,Becsi ut,Main road,295,0%,289,0.00%,low,2019.09.23
20,Spar,Spar to Go,Convenience store,Very small,3,Becsi ut,Main road,254,0%,NA,NA,low,2019.09.23
21,Nemzeti Dohanybolt,Nemzeti Dohanybolt,Tobacco shop,Very small,9,Raday utca,Small street,290,0%,350,0.00%,low,2019.09.26
22,Mom&Pop,Zoldseg-Gyumolcs vegyes bolt,Convenience store,Small,9,Raday utca,Small street,289,0%,299,9.00%,good,2019.09.26
23,Mom&Pop,Manna ABC non-stop,Convenience store,Small,9,Raday utca,Small street,295,0%,319,0.00%,good,2019.09.26
24,Aldi,Aldi,Discount store,Medium,9,Ulloi ut,Main road,229,0%,279,0.00%,good,2019.09.26
25,Nemzeti Dohanybolt,Nemzeti Dohanybolt,Tobacco shop,Very small,9,Raday utca,Small street,328,0%,258,0.00%,medium,2019.09.26
26,Spar,Spar szupermarket,Supermarket,Medium,9,Raday utca,Small street,229,0%,NA,NA,medium,2019.09.26
27,Mom&Pop,Szuper Diszkont,Discount store,Small,9,Kinizsi utca,Small street,209,0%,279,0.00%,medium,2019.09.26
28,Mom&Pop,Azsiai Diszkont,Discount store,Small,9,Raday utca,Small street,239,0%,270,0.00%,low,2019.09.26
29,Nemzeti Dohanybolt,Nemzeti Dohanybolt,Tobacco shop,Very small,9,Bakats utca,Small street,285,0%,325,0.00%,low,2019.09.26
30,Mom&Pop,Vegyeskereskedés,Discount store,Medium,9,Bakats ter,Small street,270,0%,290,0.00%,medium,2019.09.26
31,Tesco,Tesco,Supermarket,Big,9,Koppány u.,Main road,259,0%,199,20.00%,medium,2019.09.25
32,Reál,Reál,Convenience store,Small,9,Könyves Kálmán körút,Shopping area / centre,269,0%,259,0.00%,medium,2019.09.20
33,Reál,Reál Élelmiszer,Convenience store,Small,9,Telepy u.,Small street,319,0%,309,0.00%,low,2019.09.21
34,Reál,Reál Élelmiszer,Convenience store,Small,9,Mihálkovics u.,Main road,319,0%,309,0.00%,low,2019.09.20
35,Vegyes Diszkont,Vegyes Diszkont,Discount store,Medium,9,Mester u,Main road,299,0%,NA,NA,low,2019.09.27
36,Spar,Spar szupermarket,Supermarket,Medium,9,Mester u,Main road,239,0%,315,0.00%,medium,2019.09.27
37,Spar,Spar szupermarket,Supermarket,Medium,9,Mester u,Main road,229,0%,249,0.00%,medium,2019.09.27
38,Mom&Pop,Non-stop ABC,Convenience store,Small,9,Mester u,Main road,NA,NA,355,0.00%,low,2019.09.27
39,Spar,City SPAR,Supermarket,Medium,9,Mester u,Main road,229,0%,249,0.00%,medium,2019.09.27
40,Mom&Pop,Mester ABC,Convenience store,Small,9,Mester u,Main road,270,0%,310,0%,low,2019.09.27
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
