id,name,cola_price,orbit_price,address,size,chain
1,Coop ABC,279,135,Vamhaz krt. 3,small,1
2,ALDI,229,169,Vamhaz krt. 3,large,1
3,Ázsia Diszkont,250,120,Vámház krt. 7,medium,0
4,Nemzeti Dohánybolt,290,160,Kálvin tér 7,small,1
5,Zoldseg-Gyumolcs,199,150,Ráday u. 5-13,small,0
6,ALDI,229,155,Ülloi út 14,medium,1
7,SPAR Express,245,175,Baross u. 5,medium,1
8,ABC,310,145,Ülloi út 30,small,1
9,Prima ,339,155,Corvin köz 1,medium,1
10,Prima ,259,155,Futó u. 37,large,1
11,Pek - Snack Metro shop,310,180,Jozsef krt.,small,0
12,Vegyes Kereskedés Diszkont,230,130,Páva u. 2,medium,0
13,SPAR szupermarket,260,155,Mester u. 30-32,large,1
14,Diszkont,300,130,Mester u. 36,small,0
15,Family Diszkont Center,249,129,Ipar u. 8,medium,0
16,SPAR market,265,165,Mester u. 48-52,medium,1
17,Supa ABC,270,170,Mester u. 51,small,1
18,Vegyes Diszkont,250,130,Haller u.17 ,medium,0
19,Nemzeti Dohánybolt,299,199,Haller u. 15,small,1
20,Rossmann,319,239,Soroksári út 30-34,large,1
21,David Csemege,290,160,Ráday u. 18,medium,0
22,Manna ABC,295,169,Ráday u. 9,small,1
23,CBA Klasszis Csemege,250,160,Thököly út 96,medium ,1
24,Nemzeti Dohánybolt,280,170,Dózsa György út 28,small,1
25,VIP ABC,260,105,Hungária krt. 188,medium,1
26,Nemzeti Dohánybolt,301,150,Hungária krt.  171,small,1
27,Spar Express,245,175,Hungária krt. 173,medium ,1
28,Delikatesz Csemege,300,150,Mexikói út 68,small,0
29,Finom Pekseg&Pizzeria,350,160,Mexikói út 68-69,small,0
30,Vegyesbolt,350,130,Mexikói út 68-69,small,0
31,Grocery store (no name),350,140,Mexikói út 68-69,small,0
32,Fresh corner,399,215,Vágány u. 21,medium ,1
33,Select Elelmiszer,429,259,Vágány u. 2,medium ,1
34,Vegyes Kereskedes,270,140,Dózsa György út 64,small,0
35,Vegyes Kereskedes,250,130,Dózsa György út 44,small,0
36,Real Elelmiszer,429,249,Ilka u. 27,medium ,1
37,Premium Elelmiszer,265,170,Szugló u. 82,small,1
38,ALDI,260,165,Szugló u. 60-62,large,1
39,Prima Recsei,280,170,Istvánmezei út 6,large,1
40,Tesco extra,290,150,Pillangó u. 15,large,1
41,SPAR,270,160,Nagy Lajos király útja 191,large,1
42,Prima Hermina ,275,140,Nagy Lajos király útja 212,large,1
,,,,,,
,,,,,,
,,,,,,
