price_coke,address,name,InOut,store_size,ID,district
275,"Budapest, DohĂˇny u. 44, 1074",nemzeti dohăˇnybolt,1,small,1,7
279,"Budapest, ErzsĂ©bet krt. 19, 1073",spar,1,large,2,7
299,"Budapest, ErzsĂ©bet krt. 26, 1073",chimpex diszkont,1,small,3,7
299,"Budapest, WesselĂ©nyi u. 52, 1077",nemzeti dohăˇnybolt,1,small,4,7
260,"Budapest, WesselĂ©nyi u. 56, 1077",min yuan,1,small,5,7
300,"Budapest, WesselĂ©nyi u. 61, 1077",golden ă‰lelmiszer,1,small,6,7
200,"Budapest, HĂˇrsfa u., 1074",mp prime market,1,small,7,7
300,"Budapest, DohĂˇny u. 96, 1074",atar,1,small,8,7
290,"Budapest, WesselĂ©nyi u. 59, 1077",nemzeti dohăˇnybolt,1,small,9,7
350,"Budapest, KlauzĂˇl u. 1, 1072",nemzeti dohăˇnybolt,1,small,10,7
299,"Budapest, ErzsĂ©bet krt. 7, 1073",market point,1,small,11,7
299,"Budapest, WesselĂ©nyi u. 58, 1077",golden ă‰lelmiszer,1,small,12,7
299,"Budapest, WesselĂ©nyi u. 60, 1077",coop,1,medium,13,7
310,"Budapest, HuszĂˇr u. 5, 1074","""ză¶ldsă©ges - ă‰lelmiszer""",1,small,14,7
280,"Budapest, Izabella u. 5-9, 1077",csalăˇdi csemegebolt,1,small,15,7
299,"Budapest, Izabella u. 34, 1077",roni abc,1,small,16,7
300,"Budapest, KirĂˇly u. 67, 1077",nemzeti dohăˇnybolt,1,small,17,7
290,"Budapest, WesselĂ©nyi u. 59, 1077",nemzeti dohăˇnybolt,1,small,18,7
280,"Budapest, KirĂˇly u. 91, 1077",kirăˇly csemege,1,small,19,7
250,"Budapest, Hevesi SĂˇndor tĂ©r 1, 1077",izabella diszkont,1,small,20,7
330,ErzsĂ©bet KirĂˇlynĂ© street 109,liza market,0,small,21,14
300,"Erzs Kir 76/A, 1142 Bp.",mini coop,0,small,22,14
300,"Erzs Kir 63, 1142 Bp.",abc-abc,0,small,23,14
229,"Erzs Kir 32, 1142 Bp.",spar,0,large,24,14
300,"Erzs Kir 107, 1142 Bp.",csemegebolt,0,small,25,14
349,"ThĂ¶kĂ¶ly street 122, 1146 Bp.",cba,0,small,26,14
275,"ThĂ¶kĂ¶ly street 151, 1146 Bp.",tesco - expressz,0,medium,27,14
315,"Nagy Lajos kir 212, 1149 Bp.",cba pră­ma,0,medium,28,14
290,"Nagy Lajos kir. 189, 1149 Bp.",coop,0,medium,29,14
250,MexikĂłi Ăşt station,vegyesbolt,0,small,30,14
299,MexikĂłi Ăşt station,abc,0,small,31,14
349,MexikĂłi Ăşt station,"""ză¶ldsă©ges bolt""",0,small,32,14
299,RĂłzsavĂ¶lgyi sq 9,reăˇl pont,0,small,33,14
249,"Nagy Lajos street 126, 1149 Bp.",pră©mium ă‰lelmiszer,0,small,34,14
269,"Nagy Lajos street 139, 1149 Bp.",coop,0,medium,35,14
295,"Kassai sq 11., 1142 Bp.",manna,0,small,36,14
255,"Kacsoh PongrĂˇc street 133., 1146 Bp",spar expressz,0,medium,37,14
249,UngvĂˇr street 50,spar,0,large,38,14
275,"Erzs Kir 125., 1142 Bp",tesco - expressz,0,medium,39,14
280,"Amerikai street 67., 1145 Bp.",cba,0,small,40,14
259,Budapest 1114 VillĂˇnyi street 1,groby,1,small,41,11
229,Budapest 1114 BartĂłk BĂ©la street 51,spar,1,large,42,11
229,Budapest 1114 BartĂłk BĂ©la street 47,lidl,1,large,43,11
319,Budapest 1114 BartĂłk BĂ©la street 3-5,dm,1,large,44,11
289,Budapest 1111 BartĂłk BĂ©la street 2,familyshop,1,small,45,11
248,Budapest 1111 BartĂłk BĂ©la street 14,spar,1,large,46,11
299,Budapest 1111 BercsĂ©nyi street 36,cba,1,small,47,11
319,Budapest 1111 BartĂłk BĂ©la street 48,rossmann,1,medium,48,11
229,Budapest 1117 OktĂłber huszonharmadika street 8-10,spar,1,large,49,11
319,Budapest 1117 OktĂłber huszonharmadika street 8-10,dm,1,large,50,11
359,Budapest 1117 OktĂłber huszonharmadika street 8-10,inmedio,1,small,51,11
350,Budapest 1117 VĂˇli street 6,discounter/local shop,1,small,52,11
299,Budapest 1117 Karinthy Frigyes street 13,tobacco shop,1,small,53,11
295,Budapest 1117 Bicskei street 10,discounter/local shop,1,small,54,11
310,Budapest 1117 Karinthy Frigyes street 12,tobacco shop,1,small,55,11
320,Budapest 1111 Budafoki street 57,"""reăˇl"" discounter",1,small,56,11
290,Budapest 1111 Karinthy Frigyes street 28,tobacco shop,1,small,57,11
399,Budapest 1117 Irinyi JĂłzsef street 45,mol,1,small,58,11
219,Budapest 1117 Irinyi JĂłzsef street 34,spar,1,large,59,11
399,Budapest 1117 Irinyi JĂłzsef street 34-36,omv/spar express,1,medium,60,11
280,Budapest 1171 Berky Lili u. 48,abc,0,small,61,17
290,Budapest 1171 Pesti Ăşt 338,tobacco shop,0,small,62,17
229,Budapest 1171 Pesti Ăşt 237p,aldi,0,large,63,17
229,Budapest 1173 Pesti Ăşt 237h,lidl,0,large,64,17
300,Budapest 1173 Pesti Ăşt 237h,tobacco shop,0,small,65,17
249,Budapest 1173 Pesti Ăşt 237g,lukoil/despar,0,medium,66,17
429,Budapest 1173 Pesti Ăşt 237c,shell/select,0,small,67,17
219,Budapest 1173 MaroshĂ©vĂ­z u. 1,spar,0,large,68,17
319,Budapest 1173 Pesti Ăşt 170,dm,0,large,69,17
279,Budapest 1173 Ferihegyi Ăşt 72,chinese discounter (napi vegyesbolt),0,small,70,17
290,Budapest 1173 KaszĂˇlĂł u. 47,tobacco shop,0,small,71,17
270,Budapest 1173 KaszĂˇlĂł u. 47,discounter/local shop,0,small,72,17
250,Budapest 1173 KaszĂˇlĂł u. 47,discounter/local shop,0,small,73,17
260,Budapest 1173 KaszĂˇlĂł u. 47,tobacco shop,0,small,74,17
270,Budapest 1173 KaszĂˇlĂł u. 51,chinese shop,0,small,75,17
400,Budapest 1173 Pesti Ăşt 170,gyros take away,0,small,76,17
299,Budapest 1173 Pesti Ăşt 169,tobacco shop,0,small,77,17
229,Budapest 1173 Pesti Ăşt 169,spar,0,large,78,17
229,Budapest 1173 Pesti Ăşt 16-18,omv/spar express,0,medium,79,17
229,Budapest 1173 Pesti Ăşt 16,penny,0,medium,80,17
280,Budapest 1173 Pesti Ăşt 16,tobacco shop,0,small,81,17
275,Budapest 1091 Kalvin ter 7,tesco express,1,medium,82,9
250,Budapest 1093 Vamhaz krt 7,azsia diszkont,1,medium,83,9
229,Budapest 1093 Vamhaz krt 1,aldi,1,large,84,9
328,Budapest 1092 Raday u 33/a,nemzeti dohanybolt,1,small,85,9
229,Budapest 1092 Raday u 32,city spar,1,medium,86,9
290,Budapest 1092 Raday u 18,david csemege,1,small,87,9
249,Budapest 1092 Kinizsi u 19,szuper diszkont,1,medium,88,9
270,Budapest 1092 Raday u 51,vegyeskereskedes diszkont,1,small,89,9
299,Budapest 1092 Ferenc krt 22,roni abc,1,small,90,9
319,Budapest 1094 Ferenc krt 23,rossmann,1,medium,91,9
399,Budapest 1094 Balazs Bela utca 34,nemzeti dohanybolt,1,small,92,9
299,Budapest 1096 Telepy utca 4,real elelmiszer,1,medium,93,9
280,Budapest 1094 Tuzolto utca 75,non-stop elelmiszer,1,small,94,9
275,Budapest 1094 Thaly Kalman utca 46-48,tesco express,1,medium,95,9
250,Budapest 1094 Berenczey utca 17,homes,1,medium,96,9
280,Budapest 1094 Tompa utca 17,shop vegyesaru,1,medium,97,9
420,Budapest 1094 Mester utca 4-6,nemzeti dohanybolt,1,small,98,9
229,Budapest 1094 Mester utca 1,city spar,1,medium,99,9
269,Budapest 1094 Ferenc Krt 15,dda diszkont,1,medium,100,9
280,Budapest 1094 Tuzolto utca 1,szuper diszkont,1,medium,101,9
199,Budapest 1101 Gyomroi ut 99,auchan,0,large,102,10
